description,amount,transaction_type,category
Audible audiobooks monthly credit Ref #82089,1746.18,expense,Entertainment
UPI/pindballuchifamilydinner/946305,2171.94,expense,Food
Charity contribution CRY foundation Ref #17641,7963.07,income,Other
Infosys Technologies monthly salary,143957.35,income,Salary
Corporate employer net salary deposit INR 101321.24,101321.24,income,Salary
PlayStation Plus quarterly network INR 1166.26,1166.26,expense,Entertainment
Tata Silver ETF purchase order Ref #92616,35064.41,expense,Investment
YouTube Premium family bundle,1928.13,expense,Entertainment
Upwork Escrow freelance earnings credit Ref #59155,41383.33,income,Freelance
Apollo Pharmacy prescription medicines INR 7436.84,7436.84,expense,Healthcare
Fixed deposit creation ICICI bank INR 2900.34,2900.34,expense,Investment
Independent code audit consulting fee INR 16251.66,16251.66,income,Freelance
Coliving monthly rental stay,31807.81,expense,Rent
POS STANZA LIVING STUDENT PG RENT,10003.41,expense,Rent
UPI/vicellularmonthlybill/769737,3889.20,expense,Utilities
POS NETMEDS ONLINE MEDICINE ORDER,2330.97,expense,Healthcare
Monthly tech payroll salary credit Ref #53512,157426.03,income,Salary
Delhi Metro smart card INR 8045.91,8045.91,expense,Transport
UPI/tataplaydthrecharge/163182,3113.59,expense,Utilities
UPI/fiverrinternationalgigpayment/713805,34825.01,income,Freelance
Zepto quick grocery,1307.71,expense,Food
Physiotherapy rehabilitation session,11631.71,expense,Healthcare
Credit card annual renewal surcharge Ref #67915,8066.61,expense,Other
Charity contribution CRY foundation INR 7823.21,7823.21,expense,Other
Cheque clearing charge fee Ref #96972,382.86,expense,Other
JioCinema premium subscription Ref #44116,738.26,expense,Entertainment
Museum entry tickets,833.58,expense,Entertainment
Monthly tech payroll salary credit INR 91195.42,91195.42,income,Salary
House deposit monthly installment Ref #11610,9189.02,expense,Rent
Bharat Petroleum diesel fill,2966.71,expense,Transport
Annual festival performance incentive,86785.06,income,Salary
Birthday cash gift received INR 4180.82,4180.82,income,Other
UPI/colivingmonthlyrentalstay/999138,12831.95,expense,Rent
Monthly tech payroll salary credit,131996.08,income,Salary
UPI/indigoflightticketbooking/388375,605.01,expense,Transport
Mirae Asset Large Cap Fund SIP Ref #36097,45983.52,expense,Investment
UPI/vaccinationclinicboosterdose/258366,955.42,expense,Healthcare
POS MUNICIPAL WASTE MANAGEMENT FEE,5155.44,expense,Utilities
Delhi Metro smart card,4614.82,expense,Transport
Credit card annual renewal surcharge Ref #29942,3274.37,expense,Other
Tata Play DTH recharge Ref #67807,1291.27,expense,Utilities
Bank account annual debit card maintenance INR 4864.17,4864.17,income,Other
Reimbursement medical claim credit Ref #29481,129816.68,income,Salary
Pind Balluchi family dinner INR 2421.38,2421.38,expense,Food
IRCTC railway train ticket,3016.15,expense,Transport
Allen Career Institute coaching fees INR 31814.27,31814.27,expense,Education
UPI/vijaysaleshomeappliance/736745,4527.61,expense,Shopping
POS MAINLAND CHINA LUNCH,1318.03,expense,Food
UPI/manipalhospitalopdconsultation/343420,1307.58,expense,Healthcare
POS HALDIRAM'S DINNER,2163.23,expense,Food
House deposit monthly installment Ref #48980,25836.14,expense,Rent
Mirae Asset Large Cap Fund SIP Ref #39878,48652.34,expense,Investment
Lifestyle sunglasses purchase Ref #45683,17613.45,expense,Shopping
POS STANZA LIVING STUDENT PG RENT,21863.41,expense,Rent
POS UDEMY PYTHON MACHINE LEARNING COURSE,23444.32,expense,Education
GRE exam test fee payment Ref #69303,4843.32,expense,Education
POS EYE CARE OPTICAL GLASSES LENS,2121.11,expense,Healthcare
Reliance Digital headphones Ref #73242,10621.06,expense,Shopping
Corporate employer net salary deposit,142649.85,income,Salary
IndiGo flight ticket booking,8405.54,expense,Transport
Groww Mutual Fund monthly SIP Ref #48085,43832.88,expense,Investment
POS COLIVING MONTHLY RENTAL STAY,10131.79,expense,Rent
UPI/sagarratnasouthindianmeal/680099,1889.57,expense,Food
POS TATA SILVER ETF PURCHASE ORDER,36534.15,expense,Investment
Woodland leather wallet Ref #50730,17860.66,expense,Shopping
UPI/officestudiomonthlyrent/330069,28629.34,expense,Rent
Monthly tech payroll salary credit,157957.37,income,Salary
UPI/flatlandlordrentdirectneft/196446,29851.06,expense,Rent
UPI/manipalhospitalopdconsultation/105447,1412.63,expense,Healthcare
POS TANISHQ SILVER JEWELLERY,6776.11,expense,Shopping
Tanishq silver jewellery,19906.15,expense,Shopping
POS AMAZON PRIME ANNUAL MEMBERSHIP,1930.40,expense,Entertainment
UPI/edxcertificatefee/521818,19348.52,expense,Education
Stationery depot notebooks and pens INR 7885.35,7885.35,expense,Education
UPI/clientuidesignconsultinginvoice/288783,16643.90,income,Freelance
House deposit monthly installment,28907.90,expense,Rent
Kisan Vikas Patra post office,19384.43,expense,Investment
Oxford University Press textbooks Ref #61213,24368.90,expense,Education
Myntra fashion apparel Ref #41890,5851.27,expense,Shopping
Manipal Hospital OPD consultation Ref #24790,3416.45,expense,Healthcare
Dunkin Donuts breakfast Ref #57576,462.59,expense,Food
Software development milestone payout INR 32888.13,32888.13,income,Freelance
UPI/flipkartorderelectronics/232413,17556.47,expense,Shopping
POS MONTHLY APARTMENT HOUSE RENT TRANSFER,10365.97,expense,Rent
Standup comedy open mic ticket Ref #15741,809.54,expense,Entertainment
UPI/mcdonald'sdrive-thru/690341,1647.34,expense,Food
House deposit monthly installment,34713.90,expense,Rent
Indian Oil fuel pump petrol,2683.34,expense,Transport
POS CLIENT UI DESIGN CONSULTING INVOICE,67787.83,income,Freelance
BigBasket daily veggies INR 1528.64,1528.64,expense,Food
Stanza Living student PG rent Ref #13697,32677.46,expense,Rent
UPI/birthdaycashgiftreceived/332665,3073.31,expense,Other
Cycle service station INR 3869.45,3869.45,expense,Transport
Cambridge IELTS exam registration fee,17530.47,expense,Education
Skin clinic consultation fee Ref #30214,1122.15,expense,Healthcare
POS MIRAE ASSET LARGE CAP FUND SIP,39540.98,expense,Investment
Monthly apartment house rent transfer,9516.54,expense,Rent
Society apartment maintenance levy INR 4591.44,4591.44,expense,Utilities
GRE exam test fee payment,11115.72,expense,Education
GRE exam test fee payment INR 13861.05,13861.05,expense,Education
UPI/cambridgeieltsexamregistrationfee/932336,35378.95,expense,Education
Apple Music individual INR 1018.26,1018.26,expense,Entertainment
PVR Cinemas IMAX weekend tickets,964.20,expense,Entertainment
UPI/disney+hotstarsuperplan/633469,1935.61,expense,Entertainment
POS FRIEND LOAN REPAYMENT CASH TRANSFER,7263.45,expense,Other
POS REIMBURSEMENT MEDICAL CLAIM CREDIT,115217.82,income,Salary
Tata Power consumer bill payment INR 2502.65,2502.65,expense,Utilities
UPI/shellindiapremiumfuel/378258,183.35,expense,Transport
Shoppers Stop casuals Ref #45774,12410.45,expense,Shopping
UPI/delhimetrosmartcard/377896,4017.20,expense,Transport
Apollo Pharmacy prescription medicines INR 7568.02,7568.02,expense,Healthcare
UPI/birthdaycashgiftreceived/696707,5747.82,expense,Other
Public Provident Fund PPF annual deposit Ref #18783,45629.42,expense,Investment
Charity contribution CRY foundation INR 1307.42,1307.42,expense,Other
BookMyShow cinema tickets,2337.83,expense,Entertainment
Chai Point tea & snacks,638.84,expense,Food
Guest lecture honorarium credit INR 58023.13,58023.13,income,Freelance
Tanishq silver jewellery INR 11636.95,11636.95,expense,Shopping
House deposit monthly installment Ref #72650,8538.06,expense,Rent
Fixed deposit creation ICICI bank Ref #98063,45419.80,expense,Investment
KFC crispy chicken Ref #30730,1083.77,expense,Food
Coliving monthly rental stay,12703.47,expense,Rent
POS WIPRO LIMITED PAYROLL DISBURSEMENT,168572.81,income,Salary
UPI/netflix4kuhdmonthlysubscription/256782,634.44,expense,Entertainment
POS PARADISE BIRYANI TAKEAWAY,2872.73,expense,Food
Reimbursement medical claim credit Ref #47701,69451.34,income,Salary
Groww Mutual Fund monthly SIP INR 28571.50,28571.50,expense,Investment
POS BWSSB WATER SUPPLY BILL,4433.26,expense,Utilities
House deposit monthly installment Ref #17850,19335.03,expense,Rent
Accenture payroll direct credit Ref #48854,105586.68,income,Salary
Coliving monthly rental stay INR 18333.69,18333.69,expense,Rent
Cambridge IELTS exam registration fee,23252.57,expense,Education
UPI/standupcomedyopenmicticket/757685,2094.42,expense,Entertainment
Ajio footwear Ref #80010,748.05,expense,Shopping
Fiverr international gig payment Ref #96956,52306.85,income,Freelance
House deposit monthly installment,25204.82,expense,Rent
Standup comedy open mic ticket INR 2188.09,2188.09,expense,Entertainment
UPI/lifestylesunglassespurchase/869440,11112.98,expense,Shopping
UPI/fixeddepositcreationicicibank/593649,15395.42,expense,Investment
IndiGo flight ticket booking,8337.55,expense,Transport
Haldiram's dinner INR 934.34,934.34,expense,Food
POS FIVERR INTERNATIONAL GIG PAYMENT,28797.61,income,Freelance
Client UI design consulting invoice INR 48624.82,48624.82,income,Freelance
Sovereign Gold Bond tranche investment INR 2848.54,2848.54,expense,Investment
UPI/stationerydepotnotebooksandpens/730193,11542.68,expense,Education
UPI/solarrooftopservicefee/309144,2782.21,expense,Utilities
UPI/corporateemployernetsalarydeposit/362865,132394.36,income,Salary
Shoppers Stop casuals Ref #71644,20938.81,expense,Shopping
POS DENTIST CLINIC DENTAL CLEANING,11884.26,expense,Healthcare
Bharat Petroleum diesel fill INR 6920.30,6920.30,expense,Transport
UPI/jiocinemapremiumsubscription/956572,2324.07,expense,Entertainment
Bank account annual debit card maintenance Ref #18739,5279.69,expense,Other
UPI/practodoctorvideoconsult/381444,3336.69,expense,Healthcare
UPI/mainlandchinalunch/141672,2059.90,expense,Food
POS INOX MULTIPLEX POPCORN COMBO,2229.62,expense,Entertainment
Practo doctor video consult Ref #82710,5468.80,expense,Healthcare
Vijay Sales home appliance,8760.93,expense,Shopping
POS UNIQLO WINTER WEAR,1106.02,expense,Shopping
POS ZEPTO QUICK GROCERY,3292.19,expense,Food
POS AXIS SMALL CAP FUND MONTHLY DEBIT,24989.28,expense,Investment
Municipal waste management fee,3472.01,expense,Utilities
UPI/atmcashwithdrawaltransaction/887029,894.21,income,Other
POS H&M COTTON SHIRT,1536.86,expense,Shopping
POS BURGER KING COMBO MEAL,2364.09,expense,Food
UPI/starbuckscoffee/799287,1814.36,expense,Food
Subway club sub,736.09,expense,Food
Birthday cash gift received Ref #89423,3726.90,expense,Other
POS MUNICIPAL WASTE MANAGEMENT FEE,1718.03,expense,Utilities
POS STARBUCKS COFFEE,1456.96,expense,Food
Axis Small Cap Fund monthly debit,15625.32,expense,Investment
Domino's Pizza delivery,807.18,expense,Food
Upwork Escrow freelance earnings credit,31559.96,income,Freelance
UPI/applestoreusbcable/882169,10867.39,expense,Shopping
UPI/h&mcottonshirt/728492,5089.02,expense,Shopping
Auto rickshaw meter payment Ref #49599,3910.26,expense,Transport
Croma electronics accessory,17791.11,expense,Shopping
POS SOFTWARE DEVELOPMENT MILESTONE PAYOUT,22317.76,income,Freelance
Standup comedy open mic ticket INR 398.54,398.54,expense,Entertainment
BigBasket daily veggies INR 992.48,992.48,expense,Food
UPI/bwssbwatersupplybill/267457,1590.25,expense,Utilities
Udemy python machine learning course,26637.26,expense,Education
PlayStation Plus quarterly network INR 1597.50,1597.50,expense,Entertainment
POS INDEPENDENT CODE AUDIT CONSULTING FEE,56504.77,income,Freelance
Pind Balluchi family dinner,609.41,expense,Food
Udemy python machine learning course Ref #51480,44416.26,expense,Education
Blinkit grocery essentials Ref #70217,2840.38,expense,Food
Public Provident Fund PPF annual deposit INR 41351.81,41351.81,expense,Investment
Delhi Metro smart card Ref #74139,5584.09,expense,Transport
UPI/allencareerinstitutecoachingfees/615611,18705.89,expense,Education
RedBus intercity bus seat Ref #74260,5847.52,expense,Transport
UPI/tataplaydthrecharge/462147,4117.57,expense,Utilities
UPI/flatlandlordrentdirectneft/258471,23234.66,expense,Rent
Guest lecture honorarium credit INR 45243.47,45243.47,income,Freelance
UPI/tanishqsilverjewellery/313446,19095.77,expense,Shopping
Kisan Vikas Patra post office,24670.90,expense,Investment
YouTube Premium family bundle Ref #92306,547.76,expense,Entertainment
POS SOCIETY APARTMENT MAINTENANCE LEVY,1969.39,expense,Utilities
IRCTC railway train ticket INR 7361.45,7361.45,expense,Transport
Quarterly performance appraisal bonus INR 112550.98,112550.98,income,Salary
POS INDIGO FLIGHT TICKET BOOKING,5541.12,expense,Transport
Birthday cash gift received Ref #34461,1978.78,income,Other
POS CHALO BUS CARD RECHARGE,3920.46,expense,Transport
IRCTC railway train ticket,438.62,expense,Transport
Mahanagar Gas piped natural gas Ref #89395,2665.34,expense,Utilities
Byju's learning tablet subscription,857.79,expense,Education
UPI/clientuidesignconsultinginvoice/805893,29857.63,income,Freelance
Allen Career Institute coaching fees Ref #44465,23811.04,expense,Education
UPI/sovereigngoldbondtrancheinvestment/385037,48153.19,expense,Investment
UPI/mainlandchinalunch/609597,372.93,expense,Food
UPI/tatapowerconsumerbillpayment/352422,2927.82,expense,Utilities
Cheque clearing charge fee Ref #40497,1345.69,expense,Other
UPI/cambridgeieltsexamregistrationfee/362552,29628.82,expense,Education
Netflix 4K UHD monthly subscription,690.51,expense,Entertainment
Accenture payroll direct credit,100662.63,income,Salary
Accenture payroll direct credit Ref #46458,82979.75,income,Salary
POS BANK ACCOUNT ANNUAL DEBIT CARD MAINTENANCE,7279.20,expense,Other
POS JIO FIBER MONTHLY PLAN RECHARGE,552.07,expense,Utilities
Groww Mutual Fund monthly SIP,14852.63,expense,Investment
POS DELHI METRO SMART CARD,8202.77,expense,Transport
Apple Music individual Ref #17518,767.02,expense,Entertainment
Flat landlord rent direct NEFT,12344.42,expense,Rent
Monthly apartment house rent transfer INR 22621.72,22621.72,expense,Rent
POS SOVEREIGN GOLD BOND TRANCHE INVESTMENT,19632.43,expense,Investment
UPI/housedepositmonthlyinstallment/297377,23203.94,expense,Rent
Allen Career Institute coaching fees Ref #38153,697.03,expense,Education
POS REDBUS INTERCITY BUS SEAT,813.06,expense,Transport
UPI/fiverrinternationalgigpayment/960959,52158.85,income,Freelance
POS BOOKMYSHOW CINEMA TICKETS,1190.56,expense,Entertainment
UPI/birthdaycashgiftreceived/262555,781.88,expense,Other
Donation to PM CARES relief fund INR 8655.99,8655.99,income,Other
Birthday cash gift received INR 7988.00,7988.00,expense,Other
POS DOMINO'S PIZZA DELIVERY,231.80,expense,Food
Airport parking payment Ref #69890,4494.29,expense,Transport
Coursera annual specialization pass Ref #65725,24812.27,expense,Education
Dunkin Donuts breakfast Ref #22704,731.20,expense,Food
POS REDBUS INTERCITY BUS SEAT,6215.23,expense,Transport
Credit card annual renewal surcharge Ref #14543,101.94,income,Other
Croma electronics accessory Ref #64548,14128.60,expense,Shopping
Fiverr international gig payment INR 38310.84,38310.84,income,Freelance
Infosys Technologies monthly salary Ref #77147,94848.09,income,Salary
Inox multiplex popcorn combo Ref #71487,1857.15,expense,Entertainment
Stanza Living student PG rent INR 21555.11,21555.11,expense,Rent
POS VIJAY SALES HOME APPLIANCE,3251.67,expense,Shopping
UPI/standupcomedyopenmicticket/985506,347.38,expense,Entertainment
UPI/audibleaudiobooksmonthlycredit/969226,1657.43,expense,Entertainment
UPI/bookmyshowcinematickets/851759,845.21,expense,Entertainment
POS FRIEND LOAN REPAYMENT CASH TRANSFER,2071.88,expense,Other
Society apartment maintenance levy,2018.89,expense,Utilities
POS MYNTRA FASHION APPAREL,4110.43,expense,Shopping
UPI/courseraannualspecializationpass/956401,12194.54,expense,Education
Skin clinic consultation fee INR 7186.61,7186.61,expense,Healthcare
POS SWIGGY ORDER,2411.45,expense,Food
Airtel Xstream fiber broadband Ref #71186,5479.04,expense,Utilities
POS SOFTWARE DEVELOPMENT MILESTONE PAYOUT,7352.65,income,Freelance
Mirae Asset Large Cap Fund SIP,12490.76,expense,Investment
Groww Mutual Fund monthly SIP Ref #46239,4128.02,expense,Investment
UPI/redbusintercitybusseat/930884,8402.10,expense,Transport
Cheque clearing charge fee,3828.41,expense,Other
GRE exam test fee payment INR 11525.74,11525.74,expense,Education
POS GUEST LECTURE HONORARIUM CREDIT,23047.38,income,Freelance
UPI/reimbursementmedicalclaimcredit/549323,89693.74,income,Salary
IKEA home decor,18935.49,expense,Shopping
House deposit monthly installment Ref #75390,25476.52,expense,Rent
UPI/publicprovidentfundppfannualdeposit/642421,10229.64,expense,Investment
Oxford University Press textbooks Ref #39470,1953.96,expense,Education
POS GUEST LECTURE HONORARIUM CREDIT,19749.28,income,Freelance
McDonald's drive-thru,2341.52,expense,Food
POS ZOOMCAR RENTAL DEPOSIT,3897.66,expense,Transport
Fiverr international gig payment INR 23371.66,23371.66,income,Freelance
UPI/airportparkingpayment/265649,5775.81,expense,Transport
UPI/greexamtestfeepayment/233096,7929.02,expense,Education
UPI/friendloanrepaymentcashtransfer/263568,6885.06,expense,Other
POS APPLE STORE USB CABLE,21655.06,expense,Shopping
Shell India premium fuel,7763.41,expense,Transport
Guest lecture honorarium credit INR 40173.26,40173.26,income,Freelance
UPI/steamgamesonlinestore/677599,1578.51,expense,Entertainment
Domino's Pizza delivery,2794.58,expense,Food
Burger King combo meal,533.00,expense,Food
Standup comedy open mic ticket INR 2391.82,2391.82,expense,Entertainment
National Pension System NPS tier 1 Ref #39272,11890.42,expense,Investment
UPI/paradisebiryanitakeaway/549245,2634.79,expense,Food
Parag Parikh Flexi Cap Fund Ref #68856,6893.81,expense,Investment
Tata Consultancy Services salary Ref #57118,75118.58,income,Salary
UPI/srldiagnosticslipidprofilepanel/160423,9698.45,expense,Healthcare
UPI/zomatoonlinedelivery/349565,322.33,expense,Food
POS ACCENTURE PAYROLL DIRECT CREDIT,174005.54,income,Salary
POS ZARA CLOTHING STORE,24132.13,expense,Shopping
UPI/jiotrue5gunlimitedrecharge/802371,1560.02,expense,Utilities
Standup comedy open mic ticket,1155.49,expense,Entertainment
Credit card annual renewal surcharge Ref #44732,1645.46,income,Other
Monthly apartment house rent transfer INR 13418.12,13418.12,expense,Rent
POS SOVEREIGN GOLD BOND TRANCHE INVESTMENT,19769.13,expense,Investment
UPI/airtelxstreamfiberbroadband/458955,5042.96,expense,Utilities
Allen Career Institute coaching fees INR 28471.02,28471.02,expense,Education
Wipro Limited payroll disbursement,75820.03,income,Salary
Netmeds online medicine order INR 9810.29,9810.29,expense,Healthcare
Local vegetable market INR 3342.05,3342.05,expense,Food
Puma running shoes INR 11839.84,11839.84,expense,Shopping
Software development milestone payout Ref #30625,15516.83,income,Freelance
POS LOCAL LIBRARY MEMBERSHIP RENEWAL,35163.93,expense,Education
Ola autos commute INR 5123.47,5123.47,expense,Transport
Comic con pass booking INR 1671.49,1671.49,expense,Entertainment
Monthly tech payroll salary credit INR 128477.80,128477.80,income,Salary
Fiverr international gig payment INR 59577.10,59577.10,income,Freelance
POS DENTIST CLINIC DENTAL CLEANING,899.72,expense,Healthcare
Society apartment maintenance levy,3685.53,expense,Utilities
UPI/monthlyapartmenthouserenttransfer/434198,15962.53,expense,Rent
Comic con pass booking Ref #33652,1118.30,expense,Entertainment
ATM cash withdrawal transaction Ref #47226,1786.16,income,Other
UPI/solarrooftopservicefee/900961,4082.77,expense,Utilities
Zoomcar rental deposit INR 3684.09,3684.09,expense,Transport
Infosys Technologies monthly salary,132186.86,income,Salary
UPI/solarrooftopservicefee/940952,4237.98,expense,Utilities
Air India domestic flight,5013.03,expense,Transport
POS SOLAR ROOFTOP SERVICE FEE,3616.95,expense,Utilities
Software development milestone payout,23987.37,income,Freelance
UPI/birthdaycashgiftreceived/171789,1961.21,income,Other
Vaccination clinic booster dose Ref #97584,11350.48,expense,Healthcare
Quarterly performance appraisal bonus Ref #98098,169360.85,income,Salary
Dr Lal PathLabs full blood test,9339.84,expense,Healthcare
Zerodha Broking equity fund transfer Ref #85255,45437.12,expense,Investment
Tata 1mg healthcare vitamin supplements,9678.31,expense,Healthcare
Airtel Xstream fiber broadband Ref #94656,4282.07,expense,Utilities
POS CHARITY CONTRIBUTION CRY FOUNDATION,8710.89,expense,Other
Titan watch showroom INR 13985.38,13985.38,expense,Shopping
POS SBI NIFTY 50 INDEX FUND DIRECT,40466.06,expense,Investment
Charity contribution CRY foundation INR 6878.91,6878.91,income,Other
Mahanagar Gas piped natural gas Ref #42495,1690.12,expense,Utilities
Technical writing freelance retainer INR 56597.86,56597.86,income,Freelance
Tata Power consumer bill payment,1121.18,expense,Utilities
Corporate employer net salary deposit INR 130340.66,130340.66,income,Salary
Airport parking payment INR 5684.80,5684.80,expense,Transport
POS TATA SILVER ETF PURCHASE ORDER,41701.98,expense,Investment
Tata Play DTH recharge,1286.33,expense,Utilities
Fixed deposit creation ICICI bank,41871.30,expense,Investment
UPI/medplushealthcaredrugs/725920,6717.50,expense,Healthcare
POS UPWORK ESCROW FREELANCE EARNINGS CREDIT,69342.42,income,Freelance
Donation to PM CARES relief fund,7719.84,expense,Other
UPI/netmedsonlinemedicineorder/400614,6498.50,expense,Healthcare
UPI/flatlandlordrentdirectneft/329659,16609.69,expense,Rent
Stanza Living student PG rent Ref #84912,30301.92,expense,Rent
UPI/officestudiomonthlyrent/559507,9299.98,expense,Rent
Charity contribution CRY foundation,249.17,income,Other
Netmeds online medicine order INR 2872.73,2872.73,expense,Healthcare
Netflix 4K UHD monthly subscription,1272.35,expense,Entertainment
Jio Fiber monthly plan recharge INR 4309.88,4309.88,expense,Utilities
UPI/reimbursementmedicalclaimcredit/754487,64128.92,income,Salary
Pind Balluchi family dinner,2708.61,expense,Food
IndiGo flight ticket booking Ref #30392,7514.24,expense,Transport
Jio Fiber monthly plan recharge Ref #45537,4605.18,expense,Utilities
Jio true 5G unlimited recharge,1144.17,expense,Utilities
POS TECHNICAL WRITING FREELANCE RETAINER,63445.83,income,Freelance
Annual festival performance incentive Ref #96602,92291.42,income,Salary
POS COMIC CON PASS BOOKING,2020.46,expense,Entertainment
Vaccination clinic booster dose,8172.86,expense,Healthcare
UPI/reimbursementmedicalclaimcredit/104548,174758.94,income,Salary
POS TATA 1MG HEALTHCARE VITAMIN SUPPLEMENTS,10385.06,expense,Healthcare
BookMyShow cinema tickets Ref #77811,1197.59,expense,Entertainment
Coding boot camp enrollment INR 7789.72,7789.72,expense,Education
UPI/upworkescrowfreelanceearningscredit/343007,58303.07,income,Freelance
Zerodha Broking equity fund transfer,12087.02,expense,Investment
Byju's learning tablet subscription,6742.34,expense,Education
Stanza Living student PG rent,34209.05,expense,Rent
Software development milestone payout INR 71200.11,71200.11,income,Freelance
Software development milestone payout Ref #35496,47445.44,income,Freelance
POS INDEPENDENT CODE AUDIT CONSULTING FEE,50710.92,income,Freelance
Comic con pass booking Ref #21221,1644.50,expense,Entertainment
Tata Play DTH recharge Ref #44803,3403.53,expense,Utilities
Reimbursement medical claim credit INR 138915.42,138915.42,income,Salary
UPI/monthlytechpayrollsalarycredit/930244,154756.77,income,Salary
Charity contribution CRY foundation,2011.88,expense,Other
Technical writing freelance retainer INR 33619.16,33619.16,income,Freelance
POS AIRTEL PREPAID 84 DAYS RECHARGE,3798.06,expense,Utilities
SonyLIV entertainment pass Ref #84766,1675.87,expense,Entertainment
POS MONTHLY APARTMENT HOUSE RENT TRANSFER,30970.44,expense,Rent
UPI/srldiagnosticslipidprofilepanel/525750,1086.38,expense,Healthcare
Wipro Limited payroll disbursement INR 138221.78,138221.78,income,Salary
Amazon Prime annual membership INR 449.30,449.30,expense,Entertainment
Client UI design consulting invoice INR 70742.27,70742.27,income,Freelance
UPI/fixeddepositcreationicicibank/108874,30455.96,expense,Investment
Lifestyle sunglasses purchase Ref #68008,23770.97,expense,Shopping
Guest lecture honorarium credit INR 58497.09,58497.09,income,Freelance
Croma electronics accessory,11628.96,expense,Shopping
UPI/bookmyshowcinematickets/434165,654.44,expense,Entertainment
POS NETMEDS ONLINE MEDICINE ORDER,11618.27,expense,Healthcare
Mirae Asset Large Cap Fund SIP Ref #22183,44045.30,expense,Investment
POS EYE CARE OPTICAL GLASSES LENS,1165.48,expense,Healthcare
UPI/cromaelectronicsaccessory/666390,8661.85,expense,Shopping
Zepto quick grocery INR 1630.66,1630.66,expense,Food
Monthly tech payroll salary credit INR 114821.86,114821.86,income,Salary
UPI/accenturepayrolldirectcredit/218881,167810.20,income,Salary
Reimbursement medical claim credit,113803.05,income,Salary
UPI/amazonretailpurchase/329471,19549.14,expense,Shopping
POS KFC CRISPY CHICKEN,1590.91,expense,Food
POS CHEQUE CLEARING CHARGE FEE,2966.99,expense,Other
RedBus intercity bus seat Ref #99889,118.43,expense,Transport
UPI/decathlonsportsgear/981334,18214.86,expense,Shopping
UPI/youtubepremiumfamilybundle/985447,322.70,expense,Entertainment
UPI/accenturepayrolldirectcredit/738576,95706.39,income,Salary
POS NATIONAL PENSION SYSTEM NPS TIER 1,43266.21,expense,Investment
Monthly apartment house rent transfer INR 10852.76,10852.76,expense,Rent
UPI/nykaacosmeticsorder/526170,6337.36,expense,Shopping
UPI/monthlyapartmenthouserenttransfer/640828,14026.00,expense,Rent
Content marketing retainer wire transfer,47831.65,income,Freelance
Office studio monthly rent Ref #43924,23722.74,expense,Rent
Coliving monthly rental stay,26529.70,expense,Rent
Axis Small Cap Fund monthly debit,6513.42,expense,Investment
UPI/independentcodeauditconsultingfee/646699,54261.54,income,Freelance
Coursera annual specialization pass Ref #17925,10099.78,expense,Education
JioCinema premium subscription Ref #63088,800.70,expense,Entertainment
UPI/upworkescrowfreelanceearningscredit/430738,30983.76,income,Freelance
Netflix 4K UHD monthly subscription INR 535.89,535.89,expense,Entertainment
Flat landlord rent direct NEFT Ref #69270,33706.61,expense,Rent
Air India domestic flight Ref #46160,561.65,expense,Transport
Independent code audit consulting fee,64802.83,income,Freelance
POS AUDIBLE AUDIOBOOKS MONTHLY CREDIT,1138.91,expense,Entertainment
Flat landlord rent direct NEFT,14386.88,expense,Rent
Medplus healthcare drugs,10167.16,expense,Healthcare
UPI/quarterlyperformanceappraisalbonus/182659,153479.98,income,Salary
National Pension System NPS tier 1 Ref #60272,7317.61,expense,Investment
POS PUBLIC PROVIDENT FUND PPF ANNUAL DEPOSIT,23380.81,expense,Investment
POS RAPIDO BIKE TAXI,8037.24,expense,Transport
Infosys Technologies monthly salary INR 41057.11,41057.11,income,Salary
UPI/carwashexpress/789786,5196.01,expense,Transport
Stationery depot notebooks and pens Ref #85684,22280.40,expense,Education
Birthday cash gift received,1033.44,expense,Other
UPI/friendloanrepaymentcashtransfer/867115,600.15,expense,Other
Flat landlord rent direct NEFT INR 20737.64,20737.64,expense,Rent
Cafe Coffee Day cappuccino,911.05,expense,Food
POS WIPRO LIMITED PAYROLL DISBURSEMENT,53859.65,income,Salary
POS ACCENTURE PAYROLL DIRECT CREDIT,94834.90,income,Salary
Groww Mutual Fund monthly SIP Ref #36181,10733.69,expense,Investment
Cycle service station INR 6238.44,6238.44,expense,Transport
UPI/codingbootcampenrollment/258727,28449.19,expense,Education
Flat landlord rent direct NEFT INR 16284.23,16284.23,expense,Rent
UPI/oxforduniversitypresstextbooks/945106,4474.32,expense,Education
POS CONTENT MARKETING RETAINER WIRE TRANSFER,9485.63,income,Freelance
UPI/jiotrue5gunlimitedrecharge/129751,4591.05,expense,Utilities
Bharat Gas refill booking INR 3949.79,3949.79,expense,Utilities
Fixed deposit creation ICICI bank Ref #95904,36342.88,expense,Investment
Content marketing retainer wire transfer INR 64423.05,64423.05,income,Freelance
Pind Balluchi family dinner INR 1011.43,1011.43,expense,Food
UPI/shellindiapremiumfuel/575528,2913.97,expense,Transport
Credit card annual renewal surcharge Ref #66418,190.41,income,Other
UPI/colivingmonthlyrentalstay/296242,17556.47,expense,Rent
POS CHEQUE CLEARING CHARGE FEE,2738.39,expense,Other
Vaccination clinic booster dose Ref #94108,11603.12,expense,Healthcare
POS STATIONERY DEPOT NOTEBOOKS AND PENS,25193.16,expense,Education
POS BHARAT GAS REFILL BOOKING,2113.13,expense,Utilities
